术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
GNSS,公路地理信息数据采集与质量控制,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,引用冲突,两个定义引用了不同的国家标准（GB/T 19391 与 GB/T 13923）作为定义依据，导致规定来源矛盾。
GNSS,公路地理信息数据采集与质量控制,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,公路地理信息数据采集与质量控制,智能电网用户端系统数据接口一般要求,格式冲突,定义2未提供任何内涵定义，无法进行有效的属概念与种差拆解，违反了术语定义的基本写作规范。
GNSS,车载导航地理数据采集处理技术规程,科学数据溯源元数据,范围冲突,定义1仅给出术语名称的完整形式，定义2则通过列举具体系统明确了其外延范围，导致对‘GNSS’所指称对象集合的边界划定不同。
GNSS,车载导航地理数据采集处理技术规程,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1仅给出术语全称，定义2通过列举具体系统（如GPS、BDS）限定了其外延范围，导致对‘GNSS’这一集合概念边界的理解存在差异。
GNSS,车载导航地理数据采集处理技术规程,实时交通信息服务数据结构,命名冲突,两个定义分别使用“全球导航卫星系统”和“全球定位系统”指称同一概念，导致术语-概念映射不一致。
GNSS,车载导航地理数据采集处理技术规程,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法进行有效的内涵要素拆解与对比，违反了术语定义的基本写作规范。
GNSS,遥感卫星全色数据产品分级,质量技术基础 信息资源数据规范,范围冲突,两个定义对“GNSS”所包含的具体系统外延划定不同，定义1列举了多个系统，定义2仅列举了BDS，导致在是否包含GPS、GLONASS、Galileo等具体系统上存在归属差异。
GNSS,遥感卫星全色数据产品分级,信息技术 大数据 技术参考模型,引用冲突,两个定义均指向同一属概念，但定义2明确引用特定标准（GB/T 19391）进行定义，而定义1未引用且自行列举了系统构成，导致依据的权威来源和具体规定内容存在潜在差异。
GNSS,遥感卫星全色数据产品分级,爆炸危险化学品汽车运输安全监控系统 第6部分：通信中心与监控客户端间数据接口,范围冲突,两个定义对“GNSS”所包含的系统外延划定不同，定义1列举了GPS、GLONASS、Galileo、BDS，而定义2仅列举了GPS和BDS，导致部分系统（如GLONASS、Galileo）在定义1下属于GNSS，在定义2下归属不明确或可能被排除。
GNSS,遥感卫星全色数据产品分级,机械 科学数据 第2部分：数据元目录,引用冲突,两个定义引用了不同的定义依据，定义2明确引用GB/T 19391，而定义1未引用该标准，导致定义依据不一致。
GNSS,遥感卫星全色数据产品分级,实时交通信息服务数据结构,层级冲突,定义1的属概念是“全球导航卫星系统”，定义2的属概念是“全球定位系统”，两者属于不同的上位概念，导致术语的层级定位不同。
GNSS,遥感卫星全色数据产品分级,快速公交（BRT）智能系统 第5部分：调度中心与车载信息终端通信数据接口规范,引用冲突,两个定义均指向同一属概念，但定义2明确引用特定标准（GB/T 19391）进行定义，而定义1未引用且自行列举了系统构成，这构成了基于不同引用来源（直接列举 vs. 引用标准）的规定差异。
GNSS,遥感卫星全色数据产品分级,法人和其他组织统一社会信用代码数据服务平台建设规范,引用冲突,定义2引用了外部标准GB/T 19391，其具体内容可能与定义1的枚举式列举存在潜在规定差异，导致依据不同权威来源的定义可能产生矛盾。
GNSS,遥感卫星全色数据产品分级,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,引用冲突,定义2引用了外部标准GB/T 13923进行定义，而定义1未引用且直接列举了系统构成，两者依据的权威来源不同且可能导致规定差异。
GNSS,遥感卫星全色数据产品分级,信息技术服务 外包 第2部分：数据保护要求,引用冲突,两个定义均指向同一属概念，但定义2明确引用特定标准（GB/T 19391）进行定义，而定义1未引用且自行列举了系统构成，导致依据的权威来源和具体规定内容存在潜在矛盾。
GNSS,遥感卫星全色数据产品分级,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,遥感卫星全色数据产品分级,爆炸危险化学品汽车运输安全监控系统 第5部分：车载装置与通信中心间数据接口,范围冲突,两个定义对“GNSS”所包含的卫星系统外延划定不同，定义1列举了多个具体系统，定义2仅以“GPS等”概括，导致部分对象（如GLONASS、Galileo、BDS）在定义1下明确属于，在定义2下归属不明确或可能被排除。
GNSS,遥感卫星全色数据产品分级,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2未提供明确定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,遥感卫星全色数据产品分级,车载导航电子地图数据质量规范,范围冲突,定义1通过列举具体系统（GPS等）明确了GNSS的外延范围，而定义2仅通过功能依赖（导航电子地图数据依赖的定位系统）来划定范围，两者对GNSS指称对象的边界划定不同。
GNSS,遥感卫星全色数据产品分级,智能电网用户端系统数据接口一般要求,格式冲突,定义2未提供有效定义，无法按内涵定义逻辑进行对比，违反了术语定义的基本写作规范。
GNSS,信息技术 大数据 术语,时序卫星影像数据质量检查与评价,范围冲突,定义1为通用概念，定义2限定为特定文档中的标准业务实体，导致指称对象的外延边界不同。
GNSS,信息技术 大数据 术语,实时交通信息服务数据结构,命名冲突,两个定义分别使用“全球导航卫星系统”和“全球定位系统”这两个不同术语来指称同一概念（GNSS），导致术语-概念映射不一致。
GNSS,信息技术 大数据 术语,道路交通信息服务 浮动车历史数据交换存储格式,范围冲突,定义1仅给出术语全称，定义2通过列举具体系统（GPS、北斗等）限定了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,信息技术 大数据 术语,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,信息技术 大数据 术语,用户端能源管理系统 第3-2部分：子系统接口网关数据配置,范围冲突,定义1仅给出上位概念，定义2通过列举具体系统（GPS等）限定了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,卫星导航地基增强系统数据处理中心数据接口规范,实时交通信息服务数据结构,命名冲突,术语“GNSS”在两个定义中被分别映射到“全球导航卫星系统”和“全球定位系统”这两个不同的术语，导致术语-概念关系不一致。
GNSS,卫星导航地基增强系统数据处理中心数据接口规范,信息技术 实时定位 多源融合定位数据接口,范围冲突,定义1仅给出术语名称的全称，定义2在全称基础上通过列举方式限定了系统范围，导致对‘GNSS’这一概念外延的划定存在差异。
GNSS,卫星导航地基增强系统数据处理中心数据接口规范,GNSS接收机数据自主交换格式,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举具体系统（如GPS、BDS）限定了其外延范围，导致对‘GNSS’指称对象的边界划定不同。
GNSS,卫星导航地基增强系统数据处理中心数据接口规范,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,术语数据库开发文件编制指南,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1仅给出术语名称，定义2通过列举具体系统（GPS等）限定了其外延范围，导致对‘GNSS’这一概念边界的划定不同。
GNSS,术语数据库开发文件编制指南,实时交通信息服务数据结构,命名冲突,两个定义分别将术语“GNSS”映射到“全球导航卫星系统”和“全球定位系统”这两个不同的概念，导致术语-概念关系不一致。
